player_name,team,conference,GamesPlayed,Min_per,Ortg,usage_rate,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Position
Admir Besovic,Little Rock,SB,11,9.6,92.3,17.2,52.4,56.45,5.2,18.5,6.4,28.2,6,8,0.75,11,21,0.524,0,0,0,1.2,0.6,38.1,Sr,-2.35916,-1.09693,0.5,1.4167,1.9167,0.25,0.0833,0.0833,2.8333,C
Eli Brooks,Michigan,B10,27,74.7,117,16.1,51.7,55.68,1.9,9.3,17.3,12.8,40,44,0.909,51,113,0.451,38,96,0.396,0.7,2,21.1,Sr,2.99723,3.38616,0.4444,2.7037,3.1481,3.1111,1.0741,0.2222,9.4815,Combo G
Darius McNeill,UTSA,CUSA,12,41.9,105.4,14.7,53.3,54.87,2.9,9,7.5,16.1,7,9,0.778,16,34,0.471,16,41,0.39,0.4,1.6,12,Sr,0.22567,0.406145,0.5833,2,2.5833,1,0.6667,0.0833,7.25,Wing G
Bryan Trimble Jr.,Akron,MAC,21,71.8,115.4,17.3,57.5,58.88,1.1,6.6,2.6,10.3,17,20,0.85,16,42,0.381,71,171,0.415,0.6,1.6,9.4,Sr,2.85309,-0.647724,0.2609,1.8696,2.1304,0.4348,0.8261,0.1739,12.0435,Combo G
Jamaree Bouyea,San Francisco,WCC,25,84.3,111.5,26.2,55.8,57.6,2.5,10.6,25.2,15.4,46,61,0.754,133,238,0.559,40,108,0.37,0.7,2.7,17.6,Sr,4.70896,1.22051,0.76,2.88,3.64,3.76,1.56,0.24,17.28,Scoring PG
Peace Ilegomah,Evansville,MVC,10,3,47.2,12,0,16.95,6.2,9.9,4.7,25.7,2,4,0.5,0,4,0,0,0,0,0,0,100,Sr,,,,,,,,,,
Marco Anthony,Utah,P12,28,80,99.6,19.2,45.7,48.58,5.3,11.6,17.9,19.1,56,91,0.615,81,184,0.44,21,62,0.339,1.6,1.6,37,Sr,0.175064,2.15714,1.5,3.3214,4.8214,3.1429,0.8929,0.4286,10.0357,Wing G
Izaiah Brockington,Iowa St.,B12,25,73.6,102.7,22.6,45.2,50.65,3.8,16.3,12.2,14.5,69,82,0.841,105,229,0.459,12,43,0.279,0.9,1.9,30.1,Sr,1.7943,0.726947,1.08,3.88,4.96,1.72,0.96,0.24,12.6,Wing G
Alex O'Connell,Creighton,BE,24,18.6,96.8,20.5,45.8,46.7,5.6,19.1,8.4,10.9,5,8,0.625,19,43,0.442,13,41,0.317,0,2.2,9.5,Sr,0.987782,1.05271,0.4583,1.75,2.2083,0.4583,0.375,0,3.4167,Wing F
Jalen Ray,Hofstra,CAA,23,92.5,110.5,25.7,50.8,54.77,1.7,8.5,19.4,12.9,75,89,0.843,89,191,0.466,64,173,0.37,1,2.6,24.5,Sr,4.07315,-0.36779,0.5652,2.7826,3.3478,3.3478,1.6957,0.3478,19.3478,Scoring PG
Evan Gilyard II,UMKC,Sum,16,69.7,102.6,18.3,43.2,47.82,1.7,5.5,17.9,16.3,32,45,0.711,18,49,0.367,24,76,0.316,0,2.1,36,Sr,-1.10395,-0.301519,0.3684,1.5263,1.8947,2.8421,1.0526,0,9.1579,Scoring PG
Daeqwon Plowden,Bowling Green,MAC,25,75,109.1,22.4,50,52.86,8.9,18.5,8.2,12.5,54,75,0.72,95,197,0.482,32,89,0.36,3.3,1.6,26.2,Sr,2.54877,-0.277699,2.7308,5,7.7308,1.2308,0.8846,0.8846,13.3846,Stretch 4
Nelly Cummings,Colgate,Pat,16,65.7,114.2,19.9,55.8,58.8,2.5,8.5,8.2,11.8,34,45,0.756,40,74,0.541,28,73,0.384,0.5,1.3,30.6,Sr,1.55166,-1.05789,0.5625,2.25,2.8125,1.3125,0.625,0.125,12.375,Wing G
Blake Huggins,Ball St.,MAC,22,26.6,108.5,13.8,57.9,60.15,11,13.5,5,22.8,16,25,0.64,22,38,0.579,0,0,0,5.6,0.9,65.8,Sr,-3.90853,1.53931,1.0909,1.4545,2.5455,0.3182,0.1818,0.5909,2.7273,C
James Reese,South Carolina,SEC,27,78.8,107.1,18,52.9,54.26,2,14.5,9,12.9,21,27,0.778,53,99,0.535,56,160,0.35,0.5,3,10.4,Sr,1.25914,2.23487,0.4643,3.7857,4.25,1.3929,1.5,0.1786,10.8929,Wing G
Fatts Russell,Maryland,B10,23,74.9,100.2,26.5,38,47.81,1.3,13.4,27,15.1,127,159,0.799,70,177,0.395,24,102,0.235,0.4,3.3,57,Sr,1.44579,1.46498,0.3913,4.1304,4.5217,4.4783,1.913,0.1304,14.7391,Scoring PG
Maceo Jack,Buffalo,MAC,7,21.9,133.1,11.9,70,73.06,4.1,6.6,2.7,12.9,6,6,1,9,10,0.9,8,20,0.4,1.4,2.3,20,Sr,1.26264,-0.71022,0.7143,1.2857,2,0.2857,0.8571,0.2857,6.8571,Wing G
Terry Nolan Jr.,Towson,CAA,19,50.6,102.3,24,51.8,55.96,2.4,9.1,23.3,22.3,41,51,0.804,37,73,0.507,33,94,0.351,1.7,2.5,30.5,Sr,1.04731,0.56616,0.7619,2.2857,3.0476,3.2857,1.1905,0.3333,11.2381,Scoring PG
